Country or Area,Male_Population,Female_Population,Year,GDP,Inflation,Unemployment_Rate
Afghanistan,,,1960,537777811.91,,
Afghanistan,,,1961,548888894.58,,
Afghanistan,,,1962,546666678.04,,
Afghanistan,,,1963,751111190.76,,
Afghanistan,,,1964,800000045.51,,
Afghanistan,,,1965,1006666638.22,,
Afghanistan,,,1966,1399999965.87,,
Afghanistan,,,1967,1673333418.67,,
Afghanistan,,,1968,1373333367.47,,
Afghanistan,,,1969,1408888923.02,,
Afghanistan,,,1970,1748886596.27,,
Afghanistan,,,1971,1831108972.09,,
Afghanistan,,,1972,1595555475.91,,
Afghanistan,,,1973,1733333265.07,,
Afghanistan,,,1974,2155555498.67,,
Afghanistan,,,1975,2366666615.47,,
Afghanistan,,,1976,2555555566.93,,
Afghanistan,,,1977,2953333418.67,,
Afghanistan,,,1978,3300000108.09,,
Afghanistan,,,1979,3697940345.14,,
Afghanistan,,,1980,3641723447.18,,
Afghanistan,,,1981,3478787909.82,,
Afghanistan,,,2001,2461666314.78,,
Afghanistan,10453500,9844300,2002,4338907578.66,,
Afghanistan,,,2003,4766127271.58,3.84535717,
Afghanistan,,,2004,5704202650.64,6.780487556,
Afghanistan,12984526,12082881,2005,6814753580.54,8.405297637,
Afghanistan,,,2006,7721931671.42,2.413906217,
Afghanistan,,,2007,9707373721.08,13.20827427,
Afghanistan,,,2008,11940296131.28,19.64346248,
Afghanistan,,,2009,14213670485.31,-1.162790698,
Afghanistan,,,2010,17243112603.55,3.682877957,
Afghanistan,,,2011,20343461030.38,,
Albania,,,1984,1924242456.27,-0.028354135,
Albania,1526000,1431400,1985,1965384580.65,0.351197093,
Albania,1553300,1462900,1986,2173750016.00,-2.378000687,6.4
Albania,1584200,1491900,1987,2156624896.00,2.83E-05,6.1
Albania,1616100,1522000,1988,2126000000.00,1.56E-06,7
Albania,1638900,1552900,1989,2335124992.00,-1.70E-06,7.3
Albania,1674321,1602429,1990,2101624960.00,-0.468707662,9.5
Albania,1651254,1603741,1991,1139166679.07,38.56834259,9.1
Albania,,,1992,709452572.66,249.6834367,
Albania,,,1993,1228071037.41,114.8356475,22
Albania,,,1994,1985673025.89,38.41649484,18
Albania,1588195,1561764,1995,2424498952.88,5.573307438,12.9
Albania,,,1996,3013217852.57,28.41848296,12.3
Albania,,,1997,2196223713.81,13.94310118,14.9
Albania,,,1998,2727745453.08,13.55600815,17.7
Albania,,,1999,3434402453.41,4.476068523,18.4
Albania,1532666,1547400,2000,3686649387.03,4.321511128,16.8
Albania,1530500,,2001,4091020249.37,3.458280955,16.4
Albania,1542211,1551254,2002,4449373455.57,3.300195872,15.8
Albania,1550728,1560435,2003,5652325081.60,3.38348607,15.18
Albania,1558376,1568887,2004,7464446950.03,6.007744671,14.75
Albania,1571084,1582647,2005,8376483740.48,3.4692522,14.3
Albania,,,2006,9132562332.43,1.995241221,13.9
Albania,,,2007,10704660840.29,2.024081357,13.36
Albania,,,2008,12968653524.78,4.360904563,12.75
Albania,,,2009,12118583126.00,2.410882068,
Albania,,,2010,11858216877.41,3.45934259,
Albania,,,2011,12959563902.40,3,
Algeria,,,1960,2723637620.40,,
Algeria,,,1961,2434766866.27,3.471720042,
Algeria,,,1962,2001460838.78,2.351279502,
Algeria,,,1963,2703004009.92,0.549331311,
Algeria,,,1964,2909340114.72,1.695183177,
Algeria,,,1965,3136284385.15,1.501331249,
Algeria,,,1966,3039859268.25,1.817814694,
Algeria,,,1967,3370870461.14,1.312040991,
Algeria,,,1968,3852147112.85,3.142056013,
Algeria,,,1969,4257253358.44,1.921084494,
Algeria,,,1970,4863487557.23,4.940445977,
Algeria,,,1971,5077222330.07,17.15196386,
Algeria,,,1972,6761786483.71,-4.606461074,
Algeria,,,1973,8715106128.63,9.627611595,
Algeria,,,1974,13209713770.09,48.89659052,
Algeria,,,1975,15557934472.87,5.914022113,
Algeria,,,1976,17728348385.24,10.8405927,
Algeria,,,1977,20971901062.98,11.92709947,
Algeria,,,1978,26364491674.62,10.08512101,
Algeria,,,1979,33243421339.38,13.98783797,
Algeria,,,1980,42345276287.59,25.86203875,
Algeria,,,1981,44348670724.08,14.35399954,
Algeria,,,1982,45207090667.87,1.93979417,
Algeria,,,1983,48801372227.55,6.804795897,
Algeria,,,1984,53698280322.58,8.433505552,
Algeria,11112364,10984979,1985,57937867717.46,4.972526406,
Algeria,,,1986,63696299985.04,2.405343265,
Algeria,,,1987,66742269089.70,8.842020401,
Algeria,,,1988,59089065516.87,9.060963496,
Algeria,,,1989,55631488293.90,16.01137351,22
Algeria,12735655,12546860,1990,62045098370.08,30.25959848,25
Algeria,,,1991,45715368143.98,53.78860423,25
Algeria,,,1992,48003297248.87,21.92611451,27
Algeria,,,1993,49946456681.24,13.62442466,23.15
Algeria,,,1994,42542573602.17,29.07764734,24.36
Algeria,14223326,14007922,1995,41764054034.65,28.5770375,28.1
Algeria,14479812,14086188,1996,46941496308.28,24.02190406,27.99
Algeria,14722612,14322388,1997,48177861890.89,7.001963063,28
Algeria,14698589,14550451,1998,48187780126.18,-3.131088695,28
Algeria,15132000,14833000,1999,48640613515.07,10.85640762,29.3
Algeria,15357000,15114048,2000,54790058957.37,24.59809885,15.2
Algeria,15598261,15273473,2001,55180990395.74,0.711209518,11.9
Algeria,15830343,15501690,2002,57053038888.24,1.906328849,25.7
Algeria,16090568,15757427,2003,68018606041.40,8.323802693,23.72
Algeria,,,2004,85013944727.96,10.62932921,17.7
Algeria,16583018,16271141,2005,102339100115.45,16.45925846,15.4
Algeria,,,2006,117169320524.24,11.28281156,12.3
Algeria,,,2007,135803556324.92,7.331055187,11.8
Algeria,,,2008,170989269622.04,14.60217944,
Algeria,,,2009,138119949894.70,-11.2666112,
Algeria,,,2010,161979441019.24,16.24561679,
Algeria,,,2011,188681099191.02,11.43116826,
Andorra,,,1970,78617570.32,,
Andorra,,,1971,89406659.51,7.846020985,
Andorra,,,1972,113414331.87,8.517923869,
Andorra,,,1973,150841699.11,11.84959527,
Andorra,,,1974,186557164.01,15.94510904,
Andorra,,,1975,220112850.78,16.78178283,
Andorra,,,1976,227284165.93,16.48992112,
Andorra,,,1977,253998069.15,23.38307035,
Andorra,,,1978,308020384.40,20.63104271,
Andorra,,,1979,411548246.76,16.9316315,
Andorra,,,1980,446377494.88,13.35482658,
Andorra,,,1981,388983013.90,12.35119272,
Andorra,,,1982,375914742.92,13.58232307,
Andorra,,,1983,327849949.00,11.88424586,
Andorra,,,1984,330073024.94,10.86473362,
Andorra,,,1985,346742901.74,8.595479291,
Andorra,,,1986,481996232.89,10.87881679,
Andorra,,,1987,611300198.46,5.94419812,
Andorra,,,1988,721426027.48,5.936126283,
Andorra,,,1989,795489397.96,6.896194061,
Andorra,,,1990,1028989439.41,7.326251245,
Andorra,,,1991,1106890942.99,6.935139348,
Andorra,,,1992,1209992604.29,6.710771356,
Andorra,,,1993,1007090896.44,4.537241081,
Andorra,,,1994,1017544619.09,3.879842061,
Andorra,,,1995,1178745261.83,4.933129822,
Andorra,,,1996,1224023469.69,0.797182778,
Andorra,34387,32705,1997,1180646037.01,2.228151491,
Andorra,34463,31461,1998,1211953953.56,1.499561642,
Andorra,34351,31557,1999,1239840265.63,2.731976912,
Andorra,34344,31745,2000,1133644294.54,4.513979824,
Andorra,34356,31731,2001,1264760246.44,2.770000016,
Andorra,34257,31863,2002,1456198796.29,3.399999944,
Andorra,36258,33582,2003,1917948475.28,2.88000003,
Andorra,,,2004,2322163502.26,3.349999989,
Andorra,,,2005,2539759285.93,3.10000004,
Andorra,,,2006,2823503852.62,3.200000015,
Andorra,,,2007,3245411583.72,3.869999963,
Andorra,,,2008,3712034266.51,3.185098698,
Angola,4565124,4710588,1985,6804278062.63,,
Angola,,,1986,6355849179.35,-9.134626659,
Angola,,,1987,7383121653.67,7.657675057,
Angola,,,1988,7975234067.38,2.291487833,
Angola,,,1989,9283054576.20,15.93478282,
Angola,5188045,5346200,1990,10260193360.68,10.85862391,
Angola,,,1991,12193746624.68,165.3995808,
Angola,,,1992,5779394291.76,252.7404965,
Angola,,,1993,5285600050.35,1253.280568,
Angola,,,1994,4059577145.36,2124.607237,
Angola,6069030,6248149,1995,5039534776.49,1895.206493,
Angola,,,1996,7526446605.52,5399.526172,
Angola,,,1997,7675412589.46,94.319571,
Angola,,,1998,6445192203.75,35.31682521,
Angola,,,1999,6154480286.74,556.9392569,
Angola,6863728,7066278,2000,9129180360.52,418.2329539,
Angola,,,2001,8936023211.53,108.4808937,
Angola,,,2002,11431738445.42,120.5072557,
Angola,,,2003,13956268299.11,102.5381077,
Angola,,,2004,19775218958.00,42.70546347,
Angola,7933570,8161644,2005,28233712737.53,25.95462455,
Angola,,,2006,41789479931.10,13.04117969,
Angola,,,2007,60449003467.91,12.61643248,
Angola,,,2008,84178035579.41,19.68160897,
Angola,,,2009,75492385927.77,-7.418838444,
Angola,,,2010,82470894868.33,22.39392353,
Angola,,,2011,100990011819.86,20.79303675,
Antigua and Barbuda,,,1977,66144443.28,,
Antigua and Barbuda,,,1978,74855554.23,8.624839142,
Antigua and Barbuda,,,1979,92240739.11,14.79493097,
Antigua and Barbuda,,,1980,110066664.72,9.881084936,
Antigua and Barbuda,,,1981,124462954.84,8.642933285,
Antigua and Barbuda,,,1982,137951855.34,10.65256004,
Antigua and Barbuda,,,1983,153270373.59,6.138670006,
Antigua and Barbuda,,,1984,173511108.05,3.145482722,
Antigua and Barbuda,,,1985,201862965.32,7.731961646,
Antigua and Barbuda,,,1986,245896291.95,8.067865672,
Antigua and Barbuda,,,1987,286474069.01,7.609987929,
Antigua and Barbuda,,,1988,338696290.31,12.14881435,
Antigua and Barbuda,,,1989,373403703.04,4.230264793,
Antigua and Barbuda,,,1990,391570363.45,2.262468745,
Antigua and Barbuda,30793,33085,1991,410388899.42,2.714202165,
Antigua and Barbuda,31181,33501,1992,423762955.48,2.390414899,
Antigua and Barbuda,31577,33928,1993,456537023.05,2.224074664,
Antigua and Barbuda,32016,34400,1994,500088880.06,3.020838953,
Antigua and Barbuda,32591,35017,1995,494185188.31,3.126899249,
Antigua and Barbuda,33075,35537,1996,541074082.30,2.57501583,
Antigua and Barbuda,,,1997,579851829.76,2.174710864,
Antigua and Barbuda,,,1998,620037014.23,2.416086141,
Antigua and Barbuda,,,1999,651851840.34,0.969550784,
Antigua and Barbuda,34858,37452,2000,802526700.64,21.31862218,
Antigua and Barbuda,37002,40779,2001,793977121.53,-3.206067063,
Antigua and Barbuda,36780,41540,2002,823203308.80,1.129317692,
Antigua and Barbuda,37467,42314,2003,866613818.77,0.192627847,
Antigua and Barbuda,38166,43104,2004,923788805.17,-0.407633673,
Antigua and Barbuda,,,2005,1023216485.63,6.310777326,
Antigua and Barbuda,,,2006,1162579142.80,0.302847962,
Antigua and Barbuda,,,2007,1295798091.68,23.25831418,
Antigua and Barbuda,,,2008,1354596646.44,3.021692885,
Antigua and Barbuda,,,2009,1214286389.25,-0.013832623,
Antigua and Barbuda,,,2010,1153788954.57,4.280005724,
Antigua and Barbuda,,,2011,1128708616.85,2.084274757,
Argentina,,,1962,24450604877.61,28.87184161,
Argentina,,,1963,18272123664.47,25.59115435,
Argentina,,,1964,25605249381.76,28.77461735,
Argentina,,,1965,28344705967.58,21.23293492,
Argentina,,,1966,28630474726.34,25.60346242,
Argentina,,,1967,24256667554.62,29.01826295,
Argentina,,,1968,26436857248.01,10.27531054,
Argentina,,,1969,31256284544.74,7.795830055,
Argentina,,,1970,31584210364.55,6.46787461,
Argentina,,,1971,33293199094.67,31.27106389,
Argentina,,,1972,34733000536.47,64.24478595,
Argentina,,,1973,52544000117.25,65.53528737,
Argentina,,,1974,72436777342.00,30.63044136,
Argentina,,,1975,52438647921.87,197.6973645,
Argentina,,,1976,51169499890.78,438.3227798,
Argentina,,,1977,56781000100.94,159.4271777,
Argentina,,,1978,58082870156.27,161.372172,
Argentina,,,1979,69252328953.38,147.3770441,
Argentina,,,1980,76961923741.95,90.8408016,
Argentina,,,1981,78676842366.42,106.364099,
Argentina,,,1982,84307486836.72,207.6176814,
Argentina,,,1983,103979106777.91,382.3494348,
Argentina,,,1984,79092001998.03,606.7359412,3.8
Argentina,14913409,15391927,1985,88416668900.26,625.8021403,5.3
Argentina,15128377,15629224,1986,110934442762.69,74.4614934,4.4
Argentina,15345283,15869382,1987,111106191358.20,127.0863764,5.3
Argentina,15563032,16110122,1988,126206817196.09,388.491339,5.9
Argentina,15780525,16349151,1989,76636898036.47,3057.628836,7.3
Argentina,15996665,16584195,1990,141352368714.69,2076.793473,9.2
Argentina,15937980,16815577,1991,189719989668.10,132.9532281,6
Argentina,16430164,17044841,1992,228779382768.15,11.92076024,7
Argentina,16645978,17271462,1993,236753563469.87,-1.466659949,9
Argentina,16858144,17494922,1994,257439956992.00,2.849322534,12
Argentina,17064387,17748817,1995,258031878144.00,3.16519186,16
Argentina,17264238,17931337,1996,272149757952.00,-0.052422213,16.56
Argentina,17459211,18145151,1997,292858888192.00,-0.463954028,13.41
Argentina,17650012,18355375,1998,298948362240.00,-1.705205209,12.1
Argentina,17837342,18561235,1999,283523022848.00,-1.836587325,13.48
Argentina,18059329,18836383,2000,284203745280.00,1.037277263,14.65
Argentina,18201249,18954946,2001,268696715264.00,-1.095778846,18.06
Argentina,18374920,19140712,2002,102040334258.58,30.55528154,17.5
Argentina,18546570,19323160,2003,129597103033.81,10.49560805,16.82
Argentina,18719869,19506182,2004,153129481873.14,9.22065119,13.625
Argentina,18948513,19798635,2005,183193408940.74,8.840489896,11.575
Argentina,,,2006,214066231199.56,13.42627796,10.175
Argentina,,,2007,260768703249.43,14.25823933,8.475
Argentina,,,2008,326676673164.78,19.06845032,7.875
Argentina,,,2009,307081774895.42,9.977458276,
Argentina,,,2010,368710961381.44,15.37617236,
Argentina,,,2011,445988571981.99,17.28051629,
Armenia,1719400,1825300,1990,2256838858.43,,
Armenia,,,1991,2068526521.90,79.3861043,
Armenia,,,1992,1272577521.77,568.80733,
Armenia,,,1993,1201313196.46,1391.166461,
Armenia,,,1994,1315158670.48,4107.296786,8.5
Armenia,1531576,1695402,1995,1468317350.02,161.1639176,6.7
Armenia,,,1996,1596968913.19,19.5917703,9.3
Armenia,,,1997,1639492424.38,17.73599451,10.8
Armenia,,,1998,1893726437.36,10.69849775,9.4
Armenia,,,1999,1845482181.49,0.053804078,11.2
Armenia,1449662,1632338,2000,1911563665.39,-1.373675997,11.7
Armenia,1407220,1671350,2001,2118467913.38,4.06913994,10.4
Armenia,1542974,1668619,2002,2376335048.40,2.369787813,10.8
Armenia,1545168,1666099,2003,2807061008.69,4.561098398,10.1
Armenia,1548713,1665317,2004,3576615240.42,6.309532717,9.6
Armenia,1406961,1610700,2005,4900436758.50,3.239836251,8.2
Armenia,,,2006,6384457744.45,4.619857667,7.53
Armenia,,,2007,9206277478.95,4.232770382,6.99
Armenia,,,2008,11662017844.89,5.989562361,6.27
Armenia,,,2009,8648015305.00,2.556935052,6.81667
Armenia,,,2010,9371175469.97,9.169921916,
Armenia,,,2011,10247788877.45,4.220839999,
Aruba,32821,33866,1991,872067021.91,,
Aruba,33958,35048,1992,958659238.28,5.703892153,
Aruba,36330,37355,1993,1083240282.27,8.649798797,
Aruba,38282,39313,1994,1245810153.89,8.497252448,
Aruba,39258,41976,1995,1320670419.17,-4.704039909,
Aruba,40695,42325,1996,1379888369.04,3.217726455,
Aruba,42175,44127,1997,1531843679.53,2.997850615,
Aruba,43027,45425,1998,1665363128.18,1.900997975,
Aruba,43362,46297,1999,1722905064.60,2.262272844,
Aruba,43485,46847,2000,1858659293.19,4.048308757,
Aruba,44042,47828,2001,1898882757.74,2.876975848,
Aruba,44651,48659,2002,1911173189.28,3.310844825,
Australia,,,1960,18788218165.53,,
Australia,,,1961,19871206182.10,3.176990731,
Australia,,,1962,20096315376.86,-0.230734828,
Australia,,,1963,21732556837.27,1.771539914,
Australia,,,1964,24007167655.95,3.261038815,
Australia,,,1965,26211221861.35,3.001705664,
Australia,,,1966,27550677567.48,2.675988065,
Australia,,,1967,30699966401.61,4.855185995,
Australia,,,1968,33005935715.09,2.252635107,
Australia,,,1969,37006383693.58,4.739351567,
Australia,,,1970,41698958449.99,5.153081658,
Australia,,,1971,45625489976.48,5.18860559,
Australia,,,1972,52514018691.59,6.167764295,
Australia,,,1973,64415118513.77,8.984071557,
Australia,,,1974,89752394988.95,16.39310894,
Australia,,,1975,98133278710.91,16.55645804,
Australia,,,1976,106004033782.93,14.01607533,
Australia,,,1977,111219316356.96,11.42059555,
Australia,,,1978,119440559440.56,8.231886273,
Australia,,,1979,135979779620.58,8.572129764,
Australia,,,1980,151224512534.82,10.03457204,
Australia,,,1981,178527806803.67,9.559542761,
Australia,,,1982,195716650115.86,11.74870748,
Australia,,,1983,178731867103.42,10.22275679,9.95833
Australia,,,1984,195084223872.49,7.837041813,8.98333
Australia,7816243,7852874,1985,182123954897.60,4.844526105,8.275
Australia,7768313,7833843,1986,183445719082.26,5.644512587,7.93333
Australia,8118255,8145619,1987,190419534145.05,6.9943914,7.9
Australia,8248945,8283219,1988,238480064027.94,7.584514449,7.00833
Australia,8387589,8426827,1989,302361371223.84,8.99657704,5.95833
Australia,8511269,8553859,1990,314075413620.62,6.119758899,6.675
Australia,8615409,8668627,1991,329345420296.68,3.058849359,9.29167
Australia,8716147,8778517,1992,328570329923.86,1.355950853,10.4917
Australia,8797915,8869178,1993,315045671725.69,0.826641921,10.6
Australia,8888066,8966672,1994,325860947768.94,1.045982516,9.45833
Australia,8993604,9078154,1995,370882833382.83,2.025042588,8.22
Australia,9108055,9202659,1996,403619119878.60,2.224974865,8.23
Australia,9203171,9314393,1997,437631867271.87,1.103551552,8.26
Australia,9294674,9416597,1998,401214135521.94,1.139002468,7.76
Australia,9396548,9529307,1999,390315829051.26,0.134228886,6.97
Australia,9505331,9648049,2000,416887521195.76,2.522461032,6.32
Australia,9630652,9782588,2001,380443812385.96,4.627978234,6.73
Australia,9756969,9897906,2002,397147341984.09,3.045679291,6.31667
Australia,9882364,10020374,2003,468410599883.52,2.601926266,5.93333
Australia,10005472,10134320,2004,615500782472.61,3.293192806,5.53333
Australia,10100916,10209292,2005,696471959103.89,3.992859612,5.1
Australia,,,2006,749805330937.41,4.863432997,4.9
Australia,,,2007,857056606736.28,5.254860336,4.375
Australia,,,2008,1061583398304.17,4.611955757,4.225
Australia,,,2009,924197418942.73,4.350026144,5.57619
Australia,,,2010,1131623072708.35,0.093956626,
Australia,,,2011,1371763885598.91,6.328663141,
Austria,,,1960,6592693841.04,,
Austria,,,1961,7311749633.20,5.087153717,
Austria,,,1962,7756110209.95,3.340203214,
Austria,,,1963,8374175257.54,3.678266121,
Austria,,,1964,9169983885.51,3.183788219,
Austria,,,1965,9994070615.64,5.321415449,
Austria,,,1966,10887682272.86,3.122366081,
Austria,,,1967,11579431668.66,3.247762568,
Austria,,,1968,12440625312.59,2.838031951,
Austria,,,1969,13582798555.94,2.733572877,
Austria,,,1970,15261259811.04,6.326035588,
Austria,,,1971,17728673082.43,6.204372191,
Austria,,,1972,21899261666.71,7.599932114,
Austria,,,1973,29300920836.41,8.045543182,
Austria,,,1974,34933509935.48,9.502138739,
Austria,,,1975,39768017472.91,6.457775888,
Austria,,,1976,42647701158.24,5.624919099,
Austria,,,1977,51144915494.13,5.216377532,
Austria,,,1978,61554742727.19,5.898763775,
Austria,,,1979,73407497683.99,4.105576895,
Austria,,,1980,81467464369.28,5.52202472,
Austria,,,1981,70500215137.38,6.683211812,
Austria,,,1982,70682448979.59,5.336727525,
Austria,,,1983,71496768040.45,3.457886854,
Austria,,,1984,67403442679.32,4.9501088,
Austria,3598783,3979478,1985,68781084729.98,2.987952233,
Austria,3598289,3971505,1986,98203625056.33,2.969191439,5.2
Austria,3605456,3969130,1987,123083469743.14,2.413598824,5.6
Austria,3615922,3969395,1988,131969428284.86,1.526854868,5.36667
Austria,3639026,3980540,1989,131738237129.49,2.964760925,4.95833
Austria,3710842,4018394,1990,164753092097.30,2.999680436,5.36667
Austria,3753989,4041797,1991,172008564525.63,3.641871515,5.825
Austria,3769898,4070811,1992,193073835462.06,3.479093093,5.95
Austria,3807067,4098565,1993,188423702827.40,2.75708462,6.78333
Austria,3826045,4110073,1994,201444060956.51,2.5249429,6.54167
Austria,3902334,4144201,1995,238561783813.29,1.813918042,6.58333
Austria,3840484,4118532,1996,234676456979.47,0.811976074,7.03333
Austria,3846162,4121879,1997,207826098771.00,-0.220901926,7.09167
Austria,3852166,4124623,1998,213329585371.28,0.32032606,7.16667
Austria,3862180,4130143,1999,212301777114.85,0.283421088,6.66667
Austria,3954936,4156472,2000,192070749953.93,0.919217018,5.84167
Austria,3889189,4143737,2001,191678678299.78,1.873800687,6.09167
Austria,3918990,4164807,2002,207537336721.25,1.23962702,6.875
Austria,3938582,4179172,2003,253945776523.70,1.149609794,7.00833
Austria,3969190,4205543,2004,291430382497.38,1.683294977,7.075
Austria,4060018,4231961,2005,304983601949.96,2.039182059,7.26667
Austria,,,2006,324954402044.31,1.884471834,6.80833
Austria,,,2007,375041784029.85,2.004814637,6.225
Austria,,,2008,414173646317.79,1.763741978,5.8
Austria,,,2009,381775164862.34,1.045946825,7.2
Austria,,,2010,376575381578.95,1.784614873,
Austria,,,2011,418483975383.33,2.107096952,
Azerbaijan,3528523,3683168,1990,8858006035.92,,
Azerbaijan,,,1991,8792365810.51,83.54951234,
Azerbaijan,,,1992,4991350457.54,1065.329225,
Azerbaijan,,,1993,3973027396.65,747.5669814,
Azerbaijan,3728600,3868000,1994,3313739673.55,1385.202032,
Azerbaijan,3778700,3976299,1995,3052467522.36,545.6953039,
Azerbaijan,3824000,3939000,1996,3176749593.12,26.42101273,
Azerbaijan,3864300,3974000,1997,3962710163.11,9.240213747,
Azerbaijan,3882100,4030900,1998,4446396217.63,-0.963930885,
Azerbaijan,3883155,4083200,1999,4581222442.46,2.161007814,
Azerbaijan,3936400,4169289,2000,5272617196.05,12.49336892,
Azerbaijan,3971600,4139600,2001,5707618246.57,2.5150101,
Azerbaijan,4005900,4166100,2002,6236024951.20,3.119318388,
Azerbaijan,4040800,4193300,2003,7275766111.24,6.008614239,
Azerbaijan,4081100,4225400,2004,8680511918.49,8.315176683,
Azerbaijan,4060306,4291715,2005,13245421880.83,16.13942229,
Azerbaijan,,,2006,20982270733.25,11.30139726,
Azerbaijan,,,2007,33049380917.70,20.98171009,
Azerbaijan,,,2008,48852482960.08,27.73015196,
Azerbaijan,,,2009,44291490420.50,-18.8476572,
Azerbaijan,,,2010,52905998878.71,13.59874484,
Azerbaijan,,,2011,63403650746.02,16.73912004,
Bahrain,,,1980,3072698345.81,,
Bahrain,,,1981,3467819352.78,18.91176992,
Bahrain,,,1982,3645744805.68,13.72399111,
Bahrain,,,1983,3735106510.87,-3.689967622,
Bahrain,,,1984,3905585155.01,-0.418480511,
Bahrain,233224,169677,1985,3651861912.28,-1.824991528,
Bahrain,241844,178855,1986,3052393636.43,-17.39265585,
Bahrain,250803,184852,1987,3392021222.53,0.659056323,
Bahrain,260115,191060,1988,3702393658.69,2.009420405,
Bahrain,269794,197489,1989,3863564047.19,3.974666911,
Bahrain,279856,206703,1990,4229787378.87,4.826693103,
Bahrain,294346,212231,1991,4616223477.21,-1.882527503,
Bahrain,298899,217559,1992,4751063992.47,-3.532648806,
Bahrain,306588,223637,1993,5200266050.40,-3.025816976,
Bahrain,314474,229892,1994,5567553552.34,7.331188876,
Bahrain,322555,241134,1995,5849468115.19,1.090671204,
Bahrain,330855,242937,1996,6101861655.74,0.196721168,
Bahrain,339372,249743,1997,6349202600.38,0.931715292,
Bahrain,348100,256742,1998,6183941092.32,-7.057408755,
Bahrain,357056,263933,1999,6621186419.42,2.656430684,
Bahrain,366247,275916,2000,7970690894.22,14.3225249,
Bahrain,373649,278945,2001,7928934209.58,-4.898544796,
Bahrain,386220,285903,2002,8491183200.55,1.739601229,
Bahrain,396278,293140,2003,9747599583.42,7.08649012,
Bahrain,406617,300543,2004,11235671061.44,9.153437513,
Bahrain,415643,309145,2005,13460198289.70,11.13060553,
Bahrain,,,2006,15854942950.61,10.39484718,
Bahrain,,,2007,18473097688.77,7.544006513,
Bahrain,,,2008,21902892583.96,11.54122563,
Bahrain,,,2009,19318822540.67,-14.44990137,
Bahrain,,,2010,22945456866.56,13.65793617,
Bangladesh,,,1960,4274893910.13,,
Bangladesh,,,1961,4817580181.90,6.257481632,
Bangladesh,,,1962,5081413344.75,0.022223615,
Bangladesh,,,1963,5319458348.62,5.164058877,
Bangladesh,,,1964,5386054612.64,-8.743224697,
Bangladesh,,,1965,5906636553.54,7.931705028,
Bangladesh,,,1966,6439687605.77,6.29618902,
Bangladesh,,,1967,7253575403.22,14.79196339,
Bangladesh,,,1968,7483685482.83,-5.76958432,
Bangladesh,,,1969,8471006091.87,11.82771554,
Bangladesh,,,1970,8992721806.56,0.510309116,
Bangladesh,,,1971,8751842837.09,2.963254942,
Bangladesh,,,1972,6288245865.83,4.402019656,
Bangladesh,,,1973,8067027103.89,61.40578344,
Bangladesh,,,1974,12459282561.00,44.54271676,
Bangladesh,,,1975,19395903915.61,80.56975637,
Bangladesh,,,1976,10083163547.48,-17.63041926,
Bangladesh,,,1977,9632469658.53,-3.210155926,
Bangladesh,,,1978,13299358553.27,25.61888559,
Bangladesh,,,1979,15585961409.87,12.56450596,
Bangladesh,,,1980,18114645161.29,17.55506712,
Bangladesh,,,1981,19762945710.30,10.52792557,
Bangladesh,,,1982,18087000000.00,9.687499283,
Bangladesh,,,1983,17155798869.28,8.515265824,
Bangladesh,,,1984,19670160943.92,14.04688355,
Bangladesh,51258485,48724385,1985,21613230769.23,11.14965706,
Bangladesh,52396473,49276651,1986,21160234383.68,8.001182335,
Bangladesh,,,1987,23781404932.29,10.88005368,
Bangladesh,,,1988,25638749373.05,7.600678225,
Bangladesh,,,1989,26825240347.41,8.500223397,1.2
Bangladesh,58203727,54844779,1990,30128776343.58,6.335597185,1.9
Bangladesh,57313929,54141256,1991,30957444767.42,6.596235171,
Bangladesh,,,1992,31708863729.97,2.976369766,
Bangladesh,,,1993,33166530060.04,0.286969943,
Bangladesh,60500000,57200000,1994,33768661426.81,3.771827247,
Bangladesh,61600000,61422025,1995,37939752959.87,7.345332195,
Bangladesh,62700000,59400000,1996,40666015641.06,4.234503616,2.5
Bangladesh,63900000,60400000,1997,42318798537.71,3.090097174,
Bangladesh,64800000,61400000,1998,44091754148.18,5.274366309,
Bangladesh,65900000,62200000,1999,45694072379.37,4.65573068,
Bangladesh,71523031,67911345,2000,47124925462.13,1.85966087,4.3
Bangladesh,67731320,62791278,2001,46987842846.55,1.585394615,
Bangladesh,,,2002,47571130071.39,3.195375137,
Bangladesh,,,2003,51913661485.32,4.527629598,4.3
Bangladesh,,,2004,56560744012.23,4.240428765,
Bangladesh,78470366,74810754,2005,60277560975.61,5.074714915,
Bangladesh,,,2006,61901116736.15,5.172373514,4.2
Bangladesh,,,2007,68415421372.72,6.786450298,
Bangladesh,,,2008,79554350677.74,8.789101226,
Bangladesh,,,2009,89359767441.86,6.520954326,
Bangladesh,,,2010,100357022443.83,6.473622698,
Bangladesh,,,2011,110612124359.72,6.334585964,
Barbados,,,1960,87383113.71,,
Barbados,,,1961,93216432.38,-0.947999325,
Barbados,,,1962,96949756.33,-4.635720864,
Barbados,,,1963,109083059.17,18.53473509,
Barbados,,,1964,108383060.93,-5.377452177,
Barbados,,,1965,114683045.10,-5.045227768,
Barbados,,,1966,123608022.67,3.633466664,
Barbados,,,1967,137103729.87,1.64735579,
Barbados,,,1968,137300000.00,7.77304229,
Barbados,,,1969,154400000.00,4.590911163,
Barbados,,,1970,181500000.00,7.344036454,
Barbados,,,1971,204010328.89,6.812460433,
