City,ZipCode,State,Latitude,Longitude,RepubTotal,DemTotal,PerCapita
ACWORTH,3601,NH,43.21,-72.29,0,0,20669
ALSTEAD,3602,NH,43.15,-72.36,950,0,26941
ALTON,3809,NH,43.45,-71.21,26250,0,22857
AMHERST,3031,NH,42.86,-71.61,7396.23,9162,61161
ANDOVER,3216,NH,43.43,-71.82,0,500,29510
ANTRIM,3440,NH,43.03,-71.94,0,500,24625
ASHLAND,3217,NH,43.69,-71.63,500,525,19096
ATKINSON,3811,NH,42.83,-71.14,5652.4,875,41143
AUBURN,3032,NH,43,-71.34,951.2,0,34811
BARNSTEAD,3218,NH,43.33,-71.29,0,200,26267
BARRINGTON,3825,NH,43.22,-71.04,1877.4,250,30039
BARTLETT,3812,NH,44.08,-71.27,0,0,18009
BATH,3740,NH,44.16,-71.96,1402.4,0,22669
BEDFORD,3110,NH,42.95,-71.5,35170.16,2250,52855
BELMONT,3220,NH,43.44,-71.47,451.2,0,17211
BENNINGTON,3442,NH,43,-71.93,0,0,19550
BERLIN,3570,NH,44.48,-71.25,9501.2,0,20418
BETHLEHEM,3574,NH,44.28,-71.68,250,2500,21841
BOW,3304,NH,43.13,-71.54,3250,2910,43516
BRADFORD,3221,NH,43.27,-71.96,0,500,25983
BRISTOL,3222,NH,43.6,-71.74,2500,0,20328
BROOKLINE,3033,NH,42.73,-71.66,250,0,37311
CAMPTON,3223,NH,43.86,-71.63,1001.2,700,33025
CANAAN,3741,NH,43.64,-72.01,450,200,22398
CANDIA,3034,NH,43.07,-71.27,0,1000,36809
CANTERBURY,3224,NH,43.33,-71.56,3500,1750,35516
CENTER HARBOR,3226,NH,43.7,-71.22,3201.2,250,32430
CENTER OSSIPEE,3814,NH,43.76,-71.12,0,200,17245
CENTER SANDWICH,3227,NH,43.83,-71.47,2750,750,31957
CHARLESTOWN,3603,NH,43.23,-72.42,250,0,26651
CHESTER,3036,NH,42.95,-71.25,2150,0,36954
CHESTERFIELD,3443,NH,42.88,-72.46,3500,250,40655
CHICHESTER,3258,NH,43.25,-71.39,250,500,31212
CLAREMONT,3743,NH,43.37,-72.33,0,0,21853
COLEBROOK,3576,NH,44.89,-71.49,0,0,22481
CONCORD,3305,NH,43.23,-71.56,26351.18,26600,30037
CONTOOCOOK,3229,NH,43.22,-71.71,5853.6,3474,41813
CONWAY,3818,NH,43.97,-71.12,750,2000,24752
CORNISH,3745,NH,43.48,-72.32,0,1700,31596
DANBURY,3230,NH,43.52,-71.86,0,0,23536
DANVILLE,3819,NH,42.91,-71.12,1250,0,29699
DEERFIELD,3037,NH,43.14,-71.21,2027,850,36278
DERRY,3038,NH,42.89,-71.28,3174.2,3000,29324
DOVER,3820,NH,43.19,-70.87,9734.6,1700,31795
DUBLIN,3444,NH,42.91,-72.06,9259,220,29828
DUNBARTON,3046,NH,43.1,-71.59,4801.2,0,44306
DURHAM,3824,NH,43.13,-70.92,14352.4,10765,14729
EAST KINGSTON,3827,NH,42.92,-71.01,0,0,42916
EATON CENTER,3832,NH,43.9,-71.06,2400,0,29899
EFFINGHAM,3882,NH,43.71,-71,0,5000,19605
ENFIELD,3748,NH,43.64,-72.14,201.2,1350,28425
ENFIELD CENTER,3749,NH,43.57,-72.11,0,0,38508
EPPING,3042,NH,43.03,-71.07,702.4,750,31038
EPSOM,3234,NH,43.22,-71.33,500,0,29395
ERROL,3579,NH,44.78,-71.13,0,0,24992
EXETER,3833,NH,42.97,-70.94,10852.4,9287,38018
FARMINGTON,3835,NH,43.4,-71.07,0,0,23727
FITZWILLIAM,3447,NH,42.78,-72.15,500,0,33416
FRANCESTOWN,3043,NH,42.98,-71.8,0,0,36265
FRANCONIA,3580,NH,44.22,-71.74,300,462,30653
FRANKLIN,3235,NH,43.45,-71.66,750,250,21509
FREEDOM,3836,NH,43.81,-71.03,1250,0,32537
FREMONT,3044,NH,42.99,-71.14,0,0,29274
GILFORD,3249,NH,43.53,-71.38,1550,2254.44,37939
GILMANTON,3237,NH,43.42,-71.41,4200,2950,28679
GILSUM,3448,NH,43.05,-72.26,0,0,25768
GOFFSTOWN,3045,NH,43.01,-71.6,4400,0,31883
GORHAM,3581,NH,44.39,-71.18,500,0,26667
GOSHEN,3752,NH,43.3,-72.14,0,0,29057
GRAFTON,3240,NH,43.55,-71.94,3750,1000,24029
GRANTHAM,3753,NH,43.48,-72.13,451.2,1000,39269
GREENFIELD,3047,NH,42.95,-71.85,1201.2,0,32293
GREENLAND,3840,NH,43.03,-70.83,0,750,45333
GREENVILLE,3048,NH,42.76,-71.79,451.2,300,23375
GROVETON,3582,NH,44.59,-71.51,445,0,17791
